UserID,FirstName,LastName,Email,Password,UserType
111,Asma,Khan,asma.khan@example.com,studentpwd11,Student
112,Saad,Ali,saad.ali@example.com,studentpwd12,Student
113,Fizza,Akhtar,fizza.akhtar@example.com,studentpwd13,Student
114,Bilal,Riaz,bilal.riaz@example.com,studentpwd14,Student
115,Amina,Iqbal,amina.iqbal@example.com,studentpwd15,Student
116,Adil,Ahmed,adil.ahmed@example.com,studentpwd16,Student
117,Saba,Khan,saba.khan@example.com,studentpwd17,Student
118,Rizwan,Rafique,rizwan.rafique@example.com,studentpwd18,Student
119,Farah,Akram,farah.akram@example.com,studentpwd19,Student
120,Kamran,Hussain,kamran.hussain@example.com,studentpwd20,Student
61,Salma,Ahmed,salma.ahmed@example.com,adminpwd11,Admin
62,Khalid,Malik,khalid.malik@example.com,adminpwd12,Admin
63,Farida,Khan,farida.khan@example.com,adminpwd13,Admin
64,Rashid,Riaz,rashid.riaz@example.com,adminpwd14,Admin
65,Ayesha,Iqbal,ayesha.iqbal@example.com,adminpwd15,Admin
66,Tariq,Ahmed,tariq.ahmed@example.com,adminpwd16,Admin
67,Sadia,Khan,sadia.khan@example.com,adminpwd17,Admin
68,Noman,Rafique,noman.rafique@example.com,adminpwd18,Admin
69,Samina,Akram,samina.akram@example.com,adminpwd19,Admin
70,Imran,Hussain,imran.hussain@example.com,adminpwd20,Admin
211,Rabia,Malik,rabia.malik@example.com,teacherpwd11,Teacher
212,Ali,Akram,ali.akram@example.com,teacherpwd12,Teacher
213,Fahad,Riaz,fahad.riaz@example.com,teacherpwd13,Teacher
214,Hina,Ahmed,hina.ahmed@example.com,teacherpwd14,Teacher
215,Aamna,Iqbal,aamna.iqbal@example.com,teacherpwd15,Teacher
216,Adnan,Ali,adnan.ali@example.com,teacherpwd16,Teacher
217,Sadia,Khan,sadia.khan@example.com,teacherpwd17,Teacher
218,Kamran,Rafique,kamran.rafique@example.com,teacherpwd18,Teacher
219,Fizza,Akram,fizza.akram@example.com,teacherpwd19,Teacher
220,Ahsan,Hussain,ahsan.hussain@example.com,teacherpwd20,Teacher
121,Fatima,Khan,fatima.khan@example.com,studentpwd21,Student
122,Ahmed,Rizvi,ahmed.rizvi@example.com,studentpwd22,Student
123,Saima,Malik,saima.malik@example.com,studentpwd23,Student
124,Mohsin,Ali,mohsin.ali@example.com,studentpwd24,Student
125,Ayesha,Riaz,ayesha.riaz@example.com,studentpwd25,Student
126,Zainab,Hussain,zainab.hussain@example.com,studentpwd26,Student
127,Ahmed,Khan,ahmed.khan@example.com,studentpwd27,Student
128,Sadia,Malik,sadia.malik@example.com,studentpwd28,Student
129,Rashid,Ahmed,rashid.ahmed@example.com,studentpwd29,Student
130,Fatima,Akram,fatima.akram@example.com,studentpwd30,Student
71,Rauf,Hussain,rauf.hussain@example.com,adminpwd21,Admin
72,Farida,Ahmed,farida.ahmed@example.com,adminpwd22,Admin
73,Kashif,Khan,kashif.khan@example.com,adminpwd23,Admin
74,Asma,Riaz,asma.riaz@example.com,adminpwd24,Admin
75,Saif,Malik,saif.malik@example.com,adminpwd25,Admin
76,Rukhsar,Ahmed,rukhsar.ahmed@example.com,adminpwd26,Admin
77,Waqar,Akram,waqar.akram@example.com,adminpwd27,Admin
78,Samina,Riaz,samina.riaz@example.com,adminpwd28,Admin
79,Khalid,Khan,khalid.khan@example.com,adminpwd29,Admin
80,Nadia,Ahmed,nadia.ahmed@example.com,adminpwd30,Admin
221,Imran,Malik,imran.malik@example.com,teacherpwd21,Teacher
222,Hina,Akram,hina.akram@example.com,teacherpwd22,Teacher
223,Kashan,Riaz,kashan.riaz@example.com,teacherpwd23,Teacher
224,Farida,Khan,farida.khan@example.com,teacherpwd24,Teacher
225,Nabeel,Malik,nabeel.malik@example.com,teacherpwd25,Teacher
226,Sadia,Ahmed,sadia.ahmed@example.com,teacherpwd26,Teacher
227,Rizwan,Khan,rizwan.khan@example.com,teacherpwd27,Teacher
228,Samina,Riaz,samina.riaz@example.com,teacherpwd28,Teacher
229,Usman,Malik,usman.malik@example.com,teacherpwd29,Teacher
230,Sadia,Akram,sadia.akram@example.com,teacherpwd30,Teacher
